t1_name,t1_rank,t1_form_wins,t1_form_losses,t1_h2h_wins,t2_name,t2_rank,t2_form_wins,t2_form_losses,t2_h2h_wins,h2h_ot,t1_score,t2_score,outcome
Extra Salt,25,16,2,6,GODSENT,74,5,4,1,2,0,2,0
Trasko,55,15,6,0,Akuma,47,11,10,0,0,1,2,0
Lilmix,203,2,6,0,Coalesce,115,5,5,0,0,2,1,1
HONORIS,153,2,4,0,NASR,145,3,5,0,0,2,1,1
ECLOT,149,2,2,1,Enterprise,77,9,10,2,0,1,2,0
SAW,58,11,14,8,Apeks,54,15,16,0,2,2,1,1
NLG,208,2,3,0,Nemiga,50,10,9,0,0,1,2,0
K23,28,13,8,0,cowana,91,5,3,0,0,0,2,0
KINGZZZ,0,0,0,0,Babos,228,1,0,0,0,2,0,1
Sinners,22,17,9,0,ONYX,81,7,7,0,0,2,0,1
Finest,88,8,7,0,KOVA,104,7,11,0,0,2,1,1
9z,65,26,4,5,Bravos,51,36,12,7,2,2,0,1
EC Kyiv,137,6,12,2,Sestri,0,0,0,0,0,0,2,0
Budapest Five,131,4,6,0,SSP,0,1,0,0,0,2,1,1
Endpoint,26,17,9,0,Wisla Krakow,61,12,12,0,0,1,2,0
1WIN,32,20,9,0,Sinners,22,17,8,0,0,2,1,1
4glory,171,6,6,0,Infinite,93,7,7,2,1,2,0,1
AGO,27,23,12,2,HAVU,34,13,12,2,1,2,0,1
VERTEX,103,9,5,4,Ground Zero,174,7,8,2,0,2,1,1
Renegades,23,9,3,29,LookingForOrg,85,6,0,13,6,1,2,0
TTC,100,2,1,0,BLUEJAYS,80,5,5,0,0,0,2,0
ORDER,95,8,2,0,Hazard,233,0,1,0,0,2,0,1
Triumph,63,18,10,2,Third Impact,127,6,19,0,0,1,2,0
Mythic,86,8,6,3,ONET4P,132,1,3,3,1,0,2,0
ChocoCheck,129,3,4,0,Big Chillin,160,3,5,0,0,2,0,1
Party Astronauts,48,21,11,2,Strife,117,3,4,1,0,2,0,1
Bad News Bears,43,13,9,0,Mythic,86,8,5,0,0,2,0,1
RBG,64,16,13,0,GODSENT,74,4,4,4,0,0,2,0
paiN,42,9,2,3,TeamOne,69,1,11,4,1,2,1,1
AVE,90,9,7,1,Unique,62,3,4,5,0,2,1,1
Sinners,22,17,7,2,Apeks,54,14,16,0,1,0,2,0
NIP,10,9,5,11,BIG,13,8,8,6,3,2,1,1
Extra Salt,25,15,2,0,Triumph,63,18,9,0,0,2,0,1
SKADE,20,34,17,0,Movistar Riders,45,15,8,0,0,1,2,0
Endpoint,26,17,8,8,LDLC,38,16,14,7,1,1,2,0
SAW,58,11,13,1,BLINK,52,10,5,2,0,1,2,0
1shot,108,2,2,0,4glory,171,5,6,0,0,0,2,0
Bravos,51,35,12,18,Paquetá,59,28,15,19,7,2,1,1
AGO,27,22,12,4,Anonymo,66,5,7,3,0,2,0,1
Sangal,70,6,5,0,Enterprise,77,9,9,0,0,2,0,1
DBL PONEY,29,21,10,0,Fiend,30,21,12,2,0,2,1,1
9z,65,25,4,2,Sharks,73,13,8,2,0,2,0,1
G2,3,5,7,11,BIG,13,7,8,13,1,0,2,0
Lyngby Vikings,41,21,11,2,Sinners,22,16,7,0,1,0,2,0
SKADE,20,33,17,1,Wisla Krakow,61,12,11,2,0,2,0,1
Entropiq,19,17,12,0,1WIN,32,19,9,2,1,1,2,0
ORDER,95,8,1,38,LookingForOrg,85,5,0,30,9,0,2,0
8Ballers,227,3,6,0,Hazard,233,0,0,0,0,2,0,1
Ground Zero,174,6,8,0,VERTEX,103,9,4,6,0,2,0,1
Caught off Guard,266,2,8,1,FURY,247,3,7,0,0,0,2,0
Alke,244,4,6,2,Lese,253,1,5,1,1,2,0,1
Renegades,23,8,3,2,Paradox,147,8,5,0,0,1,0,1
Fantastic Seven,320,0,1,0,PACT,71,11,13,0,0,0,2,0
Tricked,140,4,8,0,EC Kyiv,137,5,12,2,0,1,2,0
cowana,91,4,3,0,SJ,180,3,6,0,0,2,0,1
LDLC,38,15,14,0,Wisla Krakow,61,12,10,2,0,2,1,1
AVE,90,8,7,0,Izako Boars,56,10,5,0,0,2,0,1
Coalesce,115,4,5,0,BLUEJAYS,80,5,4,0,0,2,0,1
Akuma,47,11,9,3,DBL PONEY,29,20,10,4,0,1,2,0
HONORIS,153,1,4,0,MASONIC,155,4,6,0,0,2,0,1
Endpoint,26,17,7,3,GamerLegion,46,14,14,4,1,1,2,0
MIBR,49,7,7,0,BIG,13,6,8,0,0,0,2,0
FURIA,17,7,6,2,Sinners,22,15,7,1,0,1,2,0
