t1_name,t1_rank,t1_form_wins,t1_form_losses,t1_h2h_wins,t2_name,t2_rank,t2_form_wins,t2_form_losses,t2_h2h_wins,h2h_ot,t1_score,t2_score,outcome
Dignitas,57,5,2,0,777,51,8,7,0,0,16,12,1
NIP,9,4,3,0,TeamOne,44,0,8,0,0,2,0,1
HAVU,35,6,7,3,777,51,7,7,4,0,3,16,0
DBL PONEY,32,15,8,3,SKADE,22,24,12,6,0,0,2,0
ENCE,19,10,6,3,Dignitas,57,4,2,2,0,12,16,0
Copenhagen Flames,30,16,10,0,Movistar Riders,66,12,7,0,0,2,1,1
GGPR,92,1,2,0,Triumph,72,12,8,0,0,0,2,0
Extra Salt,24,8,1,4,RBG,67,9,6,1,0,2,0,1
Ceará,277,1,2,0,PR Stars,119,2,2,0,0,16,5,1
SWS,148,7,8,0,Meta BR,0,1,0,0,0,14,16,0
Isurus,138,10,8,0,Redragon,193,2,2,0,0,16,5,1
Leviatan,159,10,4,0,ozbonz,0,1,0,0,0,16,5,1
Jaguares,205,2,2,0,Ceará,277,0,2,0,0,12,16,0
PR Stars,119,1,2,0,Santos,185,5,6,0,0,19,15,1
Isurus,138,9,8,0,Rehl,263,0,4,0,0,16,12,1
FURIA Academy,152,5,13,0,Redragon,193,1,2,0,0,14,16,0
The Union,0,0,0,0,Meta BR,0,0,0,0,0,11,16,0
Imperial,229,0,1,0,ozbonz,0,0,0,0,0,7,16,0
Black Dragons,186,2,5,0,Leviatan,159,9,4,0,0,8,16,0
SWS,148,6,8,0,Stone,243,2,5,0,0,16,7,1
cowana,70,1,0,0,NASR,216,2,3,0,0,16,7,1
Copenhagen Flames,30,15,10,2,AGO,23,16,9,0,0,16,14,1
ONYX,78,5,4,0,Movistar Riders,66,11,7,0,0,7,16,0
FATE,130,3,3,0,Wisla Krakow,63,10,7,2,0,11,16,0
NASR,216,1,3,0,LDLC,31,11,9,0,0,19,17,1
Galaxy Racer,69,10,6,3,AGO,23,15,9,3,2,20,22,0
HAVU,35,6,6,0,Movistar Riders,66,10,7,0,0,17,19,0
AIRLYA,96,6,2,0,ONYX,78,4,4,0,0,9,16,0
Gambit,2,7,3,0,Liquid,16,2,2,0,0,2,1,1
Copenhagen Flames,30,14,10,0,OPAA,209,0,0,0,0,16,11,1
HONORIS,100,1,3,0,cowana,70,0,0,0,0,13,16,0
GamerLegion,47,13,9,2,FATE,130,2,3,1,0,14,16,0
Nexus,84,10,5,0,Wisla Krakow,63,9,7,0,0,7,16,0
EC Genk,0,0,0,0,JoinTheForce,0,0,0,0,0,2,1,1
Sangal,64,4,4,0,DBL PONEY,32,14,8,4,1,0,2,0
DUSTY,239,0,2,0,X Gamer,266,2,2,0,0,0,2,0
LowLandLions,0,0,0,0,EC Brugge,167,2,5,0,0,2,0,1
Young Ninjas,41,24,15,0,Finest,83,6,3,0,0,0,2,0
Infinite,87,6,2,0,K23,25,9,8,0,0,1,2,0
NIP,9,3,3,0,Entropiq,18,13,7,0,0,2,0,1
Triumph,72,12,7,2,RBG,67,8,6,1,0,0,2,0
FunPlus Phoenix,28,2,1,0,Dignitas,57,3,2,1,0,0,2,0
1WIN,36,14,7,2,AGO,23,15,8,1,0,2,0,1
FURIA,15,4,4,4,TeamOne,44,0,7,1,0,2,0,1
CAMO,214,1,1,0,8Ballers,247,1,2,0,0,19,17,1
Galaxy Racer,69,9,6,0,Fiend,29,11,7,5,1,2,1,1
Copenhagen Flames,30,13,10,0,Sprout,37,7,7,0,0,2,0,1
LDLC,31,11,8,0,1WIN,36,13,7,0,0,0,2,0
Alke,189,4,3,0,Warriors,231,2,5,0,0,14,16,0
Kanga,198,2,3,0,Exsto,211,1,1,0,0,16,12,1
Caught off Guard,271,0,5,0,FURY,207,3,6,0,0,16,14,1
Movistar Riders,66,9,7,0,LDLC,31,11,7,2,0,2,0,1
SAW,40,7,7,3,GamerLegion,47,12,9,0,0,0,2,0
paiN,42,2,2,9,Party Astronauts,55,14,4,2,3,2,0,1
Eros,111,1,1,1,Verum,99,6,3,2,1,1,2,0
Furious,162,9,12,1,Meta,218,5,10,1,0,2,1,1
Sharks,61,10,6,0,SWS,148,6,7,0,0,2,0,1
Isurus,138,9,7,1,Coscu Army,182,8,9,0,1,0,2,0
Havan Liberty,75,11,5,0,MEGAZORD,155,3,3,0,0,2,0,1
Copenhagen Flames,30,13,9,0,Trasko,80,9,3,0,0,1,2,0
Anonymo,60,3,2,2,Movistar Riders,66,9,6,0,0,2,1,1
Wisla Krakow,63,8,7,3,GamerLegion,47,12,8,3,0,2,1,1
NIP,9,3,2,2,Liquid,16,1,2,1,1,0,2,0
Lyngby Vikings,39,12,5,0,Galaxy Racer,69,8,6,0,0,0,2,0
Sangal,64,4,3,0,BLINK,49,4,3,2,2,1,2,0
1WIN,36,13,6,1,SKADE,22,23,12,6,1,1,2,0
Akuma,33,7,5,0,Apeks,46,12,11,0,0,0,2,0
MAD Lions,53,14,2,0,Coalesce,234,1,2,0,0,2,0,1
Endpoint,27,11,5,1,AGO,23,15,7,8,1,2,0,1
777,51,6,7,0,SAW Youngsters,145,1,1,0,0,2,0,1
LastWind,285,0,2,0,Coalesce,234,0,2,0,0,0,2,0
TRANQUILLUM,0,0,2,0,MAD Lions,53,13,2,0,0,0,2,0
forZe,13,13,4,0,1shot,0,0,0,0,0,2,0,1
FURIA,15,4,3,0,Entropiq,18,12,7,0,0,0,2,0
FunPlus Phoenix,28,1,1,2,Sprout,37,7,6,1,0,2,0,1
GamerLegion,47,12,7,1,Galaxy Racer,69,7,6,0,0,0,2,0
NAVI Junior,102,8,8,0,Feenix,192,1,1,0,0,2,0,1
Gambit,2,6,3,3,TeamOne,44,0,6,0,0,2,0,1
Fiend,29,10,7,6,Copenhagen Flames,30,13,8,3,1,2,1,1
LDLC,31,11,6,2,Dignitas,57,2,2,0,0,1,2,0
LookingForOrg,89,0,0,5,Chiefs,121,7,2,1,1,2,0,1
Warriors,231,1,5,0,Caught off Guard,271,0,4,0,0,2,0,1
VERTEX,106,3,1,0,domilk,235,1,2,0,0,2,0,1
Renegades,21,4,3,7,Paradox,113,7,3,0,1,2,0,1
Rooster,187,2,5,2,FURY,207,3,5,1,0,2,0,1
Movistar Riders,66,8,6,0,K23,25,9,7,0,0,2,0,1
SAW,40,6,7,6,Apeks,46,12,10,0,2,2,0,1
Extra Salt,24,7,1,0,Third Impact,135,1,9,0,0,2,0,1
Triumph,72,11,7,0,Coldest Riders,126,4,5,0,0,2,0,1
Paquetá,65,22,9,11,INTZ,110,9,12,1,0,2,1,1
Bravos,48,28,10,1,ex-KG Network,119,2,3,0,0,2,0,1
Tricked,136,3,5,0,GORILLAZ,101,3,4,0,0,2,1,1
BIG,10,6,5,4,mousesports,14,4,5,9,1,1,2,0
SAW,40,5,7,0,Enterprise,91,5,5,0,0,2,1,1
Natus Vincere,1,14,3,14,FaZe,4,9,3,6,1,2,0,1
Evil Geniuses,26,1,6,1,fnatic,34,2,2,2,0,0,2,0
Sprout,37,7,5,0,DBL PONEY,32,13,8,1,0,1,2,0
SKADE,22,23,11,7,AGO,23,14,7,2,2,1,2,0
Endpoint,27,10,5,2,Copenhagen Flames,30,13,7,0,0,2,0,1
Movistar Riders,66,8,5,0,Dignitas,57,1,2,0,0,0,2,0
LDLC,31,11,5,4,AGO,23,13,7,5,0,1,2,0
KOVA,108,5,10,0,AaB,104,4,1,0,0,2,0,1
1WIN,36,12,6,0,Sprout,37,7,4,0,0,2,0,1
FunPlus Phoenix,28,1,0,2,SKADE,22,22,11,1,0,1,2,0
SAW,40,5,6,0,Galaxy Racer,69,6,6,0,0,1,2,0
Alke,189,4,2,0,Bandits,238,1,3,1,1,0,2,0
ORDER,94,4,1,1,Kanga,198,2,2,0,0,2,0,1
Renegades,21,3,3,0,Ground Zero,176,2,4,0,0,2,0,1
Paradox,113,6,3,0,Lese,210,1,2,0,0,2,0,1
Apeks,46,12,9,2,Fiend,29,9,7,1,0,0,2,0
K23,25,9,6,6,GamerLegion,47,11,7,3,1,0,2,0
9z,71,18,2,5,Paquetá,65,22,8,2,1,2,0,1
Paquetá,65,21,8,9,INTZ,110,9,11,0,0,2,1,1
BIG,10,6,4,4,FaZe,4,8,3,2,2,0,2,0
Apeks,46,11,9,2,Oilers,105,3,1,0,0,2,0,1
Dignitas,57,1,1,0,1WIN,38,11,6,0,0,0,2,0
Fiend,30,9,6,4,LDLC,33,10,5,1,0,0,2,0
hREDS,138,2,3,0,MASONIC,140,2,4,0,0,0,2,0
Natus Vincere,1,13,3,0,Evil Geniuses,23,1,5,0,0,2,0,1
FunPlus Phoenix,24,0,0,0,GamerLegion,39,11,6,0,0,2,1,1
Sprout,42,6,4,0,Movistar Riders,66,8,4,0,0,2,0,1
mousesports,12,3,5,4,fnatic,65,2,1,1,0,2,0,1
SAW,44,5,5,0,Copenhagen Flames,29,12,7,0,0,1,2,0
Endpoint,26,9,5,0,Galaxy Racer,72,6,5,0,0,2,1,1
Dynasty,213,1,3,0,Bandits,195,1,2,0,0,16,10,1
VERTEX,111,2,1,5,Ground Zero,182,2,3,0,0,16,6,1
Dire Wolves,88,7,0,19,Paradox,94,6,2,9,4,16,5,1
AGO,28,12,7,0,K23,27,9,5,0,0,2,1,1
SKADE,22,21,11,5,Apeks,59,11,8,1,2,2,0,1
SKADE,22,21,11,5,Apeks,59,11,8,1,2,2,0,1
ORDER,83,3,1,2,Chiefs,119,7,1,0,0,16,9,1
MEGAZORD,0,3,2,0,INTZ,118,8,11,0,0,1,2,0
9z,86,17,2,0,Boca Juniors,193,6,4,0,0,2,0,1
9z,86,16,2,3,Paquetá,64,21,7,1,1,2,1,1
LDLC,33,10,4,0,Fiend,30,8,6,2,0,1,2,0
Young Ninjas,43,24,14,3,mouz NXT,48,16,6,4,1,1,3,0
Nexus,107,9,5,2,Infinite,80,6,1,0,0,2,1,1
BLINK,41,3,3,0,AVE,151,4,2,0,0,2,0,1
mousesports,12,2,5,2,Evil Geniuses,23,1,4,0,0,2,0,1
Lyngby Vikings,45,11,5,0,Apeks,59,11,7,1,0,2,0,1
Into the Breach,0,1,0,0,Feenix,0,1,0,0,0,2,1,1
Dolej Miodu,0,4,1,0,Fiend,30,7,6,0,0,3,16,0
LDLC,33,9,4,0,777,46,6,6,0,0,16,10,1
Anonymo,58,2,2,0,Meta4Pro,0,0,0,0,0,2,1,1
MAD Lions,61,12,2,0,AVEZ,197,2,3,0,0,2,0,1
FaZe,4,8,2,0,fnatic,65,1,1,0,0,0,2,0
Infinite,80,5,1,0,allStars,0,2,2,0,0,2,0,1
fnatic Rising,85,10,7,0,mouz NXT,48,15,6,2,1,1,2,0
GamerLegion,39,11,5,2,Apeks,59,10,7,4,0,0,2,0
UDP,226,1,2,0,allStars,0,1,2,0,0,0,2,0
Lynn Vision,223,4,5,0,ViCi,104,3,2,0,0,0,2,0
Natus Vincere,1,13,2,4,BIG,11,5,4,2,2,0,2,0
GORILLAZ,144,3,3,2,Lyngby Vikings,45,10,5,1,1,0,2,0
TYLOO,0,3,3,64,ViCi,104,2,2,45,13,0,2,0
Lynn Vision,223,3,5,2,Wings Up,174,6,4,4,0,2,0,1
Bravos,49,28,9,6,INTZ,118,7,11,1,0,0,2,0
Furious,153,9,11,1,Leviatan,159,8,4,2,0,0,2,0
MEGAZORD,0,2,2,0,Rehl,217,0,3,0,0,2,1,1
SAW,44,5,4,0,AVEZ,197,1,3,0,0,11,16,0
9z,86,15,2,8,River Plate,116,12,4,3,1,2,0,1
Endpoint,26,8,5,0,AIRLYA,129,6,1,0,0,2,1,1
MAD Lions,61,11,2,0,HAVU,34,6,5,0,0,16,11,1
Fiend,30,6,6,4,Galaxy Racer,72,6,4,0,0,22,20,1
FaZe,4,7,2,1,Evil Geniuses,23,1,3,2,1,2,1,1
Finest,81,6,2,2,777,46,5,6,0,0,16,19,0
MASONIC,140,2,3,0,AVEZ,197,0,3,0,0,14,16,0
Feenix,0,0,0,0,Coalesce,0,0,1,0,0,2,1,1
XGC,257,0,0,0,eSuba,221,0,0,0,0,0,2,0
HAVU,34,5,5,0,FATE,105,2,2,0,0,16,9,1
Infinite,80,5,0,0,Nexus,107,8,5,0,0,0,2,0
NASR,0,1,2,0,Dolej Miodu,0,3,1,0,0,11,16,0
MAD Lions,61,10,2,0,D13,125,1,3,0,0,16,7,1
SAW,44,4,4,0,4Fun,0,0,0,0,0,16,4,1
mouz NXT,48,15,5,3,Young Ninjas,43,23,14,1,0,1,2,0
LDLC,33,8,4,0,AUGPLAYRS,0,0,0,0,0,16,6,1
allStars,0,0,2,0,OneTap,143,2,2,0,0,2,1,1
Endpoint,26,8,4,0,Into the Breach,0,0,0,0,0,1,2,0
Natus Vincere,1,12,2,3,mousesports,12,2,4,1,0,2,0,1
Marten,235,0,1,0,4glory,176,4,3,2,0,2,1,1
Lyngby Vikings,45,9,5,4,KOVA,109,5,9,1,2,16,10,1
Falcons,0,2,0,0,POGGERZ,0,3,0,0,0,1,2,0
BIG Academy,84,9,7,1,fnatic Rising,85,9,7,1,0,0,2,0
BIG,11,5,3,0,fnatic,65,0,1,0,0,1,2,0
1WIN,38,10,6,2,B8,76,2,5,4,2,2,0,1
ex-Quantum Bellator Fire,181,1,3,0,KOVA,109,4,9,0,0,11,16,0
UDP,226,0,2,0,suxeN,0,0,0,0,0,2,0,1
DBL PONEY,31,12,8,5,LDLC,33,8,3,6,1,2,0,1
Lyngby Vikings,45,9,4,0,Apeks,59,9,7,0,0,10,16,0
Apeks,59,8,7,2,KOVA,109,4,8,1,1,16,14,1
Wings Up,174,5,4,0,After,272,2,2,1,0,16,11,1
Lyngby Vikings,45,8,4,0,ex-Quantum Bellator Fire,181,1,2,0,0,16,14,1
NSN,0,1,1,0,After,272,1,2,0,0,12,16,0
Budapest Five,73,3,3,0,B8,76,2,5,0,0,0,1,0
Wings Up,174,5,3,5,ViCi,104,1,2,5,1,4,16,0
ViCi,104,0,2,2,After,272,1,1,0,0,16,4,1
Wings Up,174,4,1,0,NSN,0,1,0,0,0,22,19,1
NKT,130,3,0,0,Invictus,258,0,1,4,1,2,1,1
Wings Up,174,2,1,2,Invictus,258,0,1,3,0,1,2,0
NKT,130,3,0,2,Wings Up,174,2,1,2,0,2,0,1
Invictus,258,0,1,0,Checkmate,106,2,4,0,0,2,0,1
Lynn Vision,215,0,3,0,Checkmate,97,2,4,0,0,1,2,0
TYLOO,0,0,0,16,Invictus,245,0,1,7,2,1,2,0
9z,86,14,2,1,Bravos,49,28,8,4,1,2,1,1
ex-KG Network,124,1,3,0,Keyd,172,2,5,0,0,2,1,1
MEGAZORD,0,2,1,0,Paquetá,64,20,7,0,0,1,2,0
Malvinas,200,4,5,0,Boca Juniors,193,5,4,0,0,0,2,0
PR Stars,0,1,1,1,SWS,162,5,7,2,0,1,2,0
Bravos,49,27,8,3,Rehl,217,0,2,1,0,2,0,1
Paquetá,64,19,7,7,INTZ,118,7,10,0,0,2,0,1
FaZe,4,6,2,3,mousesports,12,2,3,4,1,2,1,1
Sprout,42,5,4,2,NLG,241,1,2,0,0,2,1,1
LDLC,33,7,3,0,WonderKids,0,0,0,0,0,2,0,1
Young Ninjas,43,22,14,1,fnatic Rising,85,9,6,1,1,2,0,1
Spirit Academy,78,10,7,0,AGO,28,11,7,0,0,0,2,0
Natus Vincere,1,11,2,0,fnatic,65,0,0,0,0,2,0,1
GamerLegion,39,10,5,0,Galaxy Racer,72,6,3,0,0,16,7,1
DBL PONEY,31,11,8,0,Kuruma,0,0,0,0,0,2,0,1
Apeks,59,7,7,0,KOVA,109,4,7,0,0,2,1,1
POGGERZ,0,2,0,0,vSlash,0,2,1,0,0,2,0,1
mouz NXT,48,14,5,1,BIG Academy,84,9,6,1,0,2,0,1
9INE,0,0,1,0,Galaxy Racer,72,5,3,0,0,1,16,0
Fiend,30,5,6,1,1WIN,38,10,5,0,0,2,0,1
GamerLegion,39,10,4,0,GORILLAZ,144,2,3,0,0,12,16,0
BIG,11,4,3,2,Evil Geniuses,23,1,2,0,0,2,0,1
Falcons,0,1,0,0,Alpha,0,2,1,0,0,2,0,1
TYLOO,0,2,2,0,CatEvil,0,2,1,0,0,16,9,1
Galaxy Racer,72,4,3,6,SJ,205,3,5,1,1,2,0,1
1WIN,38,9,5,1,B8,76,2,4,4,2,16,7,1
Galaxy Racer,72,4,3,2,GORILLAZ,144,2,3,0,0,0,1,0
GamerLegion,39,9,4,0,9INE,0,0,0,0,0,16,13,1
Fiend,30,4,6,4,Budapest Five,73,3,2,0,0,16,7,1
777,46,5,5,0,GamerLegion,39,8,4,0,0,1,2,0
TYLOO,0,0,0,8,Wings Up,167,2,1,1,0,0,2,0
TYLOO,0,1,0,3,Lynn Vision,223,1,3,3,2,15,19,0
NKT,133,3,0,1,Lynn Vision,215,0,3,4,1,2,1,1
Checkmate,97,2,4,1,Renewal,70,5,1,9,1,2,1,1
Wings Up,167,2,1,5,Renewal,70,5,1,7,1,2,1,1
TYLOO,0,0,0,0,Checkmate,97,2,4,0,0,2,0,1
Lynn Vision,215,0,3,1,Invictus,245,0,1,4,1,2,1,1
NKT,133,3,0,0,Camel Riders,186,1,1,0,0,2,0,1
Lynn Vision,223,0,3,0,CatEvil,0,1,0,0,0,16,4,1
TYLOO,0,0,0,0,Captain Cook,0,1,0,0,0,16,5,1
Furious,153,9,10,0,River Plate,116,11,4,0,0,13,16,0
INTZ,118,6,10,0,Cruzeiro,156,5,4,2,0,2,0,1
9z,86,13,2,0,Leviatan,159,8,3,0,0,2,0,1
Coscu Army,164,7,9,1,Meta PY,0,0,1,0,0,16,5,1
MEGAZORD,0,1,1,0,Redragon,0,1,1,0,0,2,1,1
9z,86,12,2,2,Isurus,133,9,6,1,0,22,20,1
forZe,16,12,4,4,Sinners,20,5,4,3,0,2,1,1
G2,3,4,5,6,Virtus.pro,5,5,7,0,1,1,2,0
Sudor,0,1,0,0,vSlash,0,1,1,0,0,7,16,0
Apeks,59,7,6,0,Galaxy Racer,72,3,3,2,1,0,2,0
Complexity,18,8,4,4,OG,10,5,2,0,1,0,2,0
NASR,0,1,1,0,Alpha,0,1,1,0,0,20,22,0
NLG,241,0,2,3,TTC,0,0,0,2,1,2,0,1
Young Ninjas,43,21,14,3,Tricked,93,3,4,3,1,2,0,1
Meta,191,5,10,0,EU JOGO BOLA,0,0,1,0,0,1,0,1
Level,0,0,1,0,vSlash,0,0,1,0,0,6,16,0
Sudor,0,1,0,0,Falcons,0,1,0,0,0,0,1,0
ENCE,19,10,5,2,Entropiq,17,11,7,2,1,1,2,0
NASR,0,0,1,0,SNRG,0,0,1,0,0,16,1,1
South,0,1,0,0,AVE,151,3,2,0,0,0,2,0
SKADE,22,20,11,4,AGO,28,11,6,2,1,3,0,1
Alpha,0,1,0,0,POGGERZ,0,1,0,0,0,6,16,0
AIRLYA,129,6,0,0,MAD Lions,61,9,2,0,0,1,2,0
Sprout,42,4,4,0,CCO,297,0,0,0,0,2,0,1
Sudor,0,0,0,0,Level,0,0,0,0,0,16,0,1
Apeks,59,7,5,1,LDLC,33,6,3,2,1,1,2,0
GamerLegion,39,8,3,4,Movistar Riders,66,7,4,2,1,1,2,0
K23,27,8,5,11,ex-100PG,53,1,2,4,1,2,0,1
Falcons,0,0,0,0,vSlash,0,0,0,0,0,16,14,1
Steel Helmet,0,0,0,0,NSN,0,0,0,0,0,1,2,0
BLINK,41,3,2,0,O PLANO,37,4,3,0,0,0,2,0
Alpha,0,0,0,0,SNRG,0,0,0,0,0,16,7,1
allStars,0,0,1,0,ex-100PG,53,0,2,0,0,1,2,0
Spirit Academy,78,10,6,0,KOVA,109,3,7,0,0,1,2,0
Galaxy Racer,72,3,2,4,K23,27,7,5,1,0,0,2,0
8Ballers,255,0,2,0,Caught off Guard,246,0,3,0,0,16,10,1
NASR,0,0,0,0,POGGERZ,0,0,0,0,0,17,19,0
FURY,177,3,4,0,Exsto,287,0,1,0,0,3,16,0
Ground Zero,182,1,3,4,Warriors,206,1,4,0,0,16,9,1
SJ,205,2,5,2,Lilmix,187,2,4,0,0,2,1,1
Let's Quit,0,0,0,0,Captain Cook,0,0,0,0,0,1,2,0
Wisla Krakow,60,8,6,0,777,46,4,5,0,0,0,2,0
Dynasty,213,1,2,0,Dire Wolves,88,6,0,0,0,6,16,0
Redragon,0,0,1,0,Black Dragons,146,2,4,0,0,2,1,1
Cruzeiro,156,4,4,0,MAXIMA,0,0,1,0,0,2,0,1
Furious,153,8,10,0,Meta,191,5,9,1,0,16,11,1
Bears Concept,0,0,1,0,SWS,162,4,7,0,0,0,2,0
Keyd,172,1,5,1,DETONA,102,6,8,2,0,2,0,1
Extra Salt,25,6,1,0,Eros,128,1,0,0,0,2,0,1
Coldest Riders,145,3,5,0,Verum,95,6,2,0,0,2,0,1
River Plate,116,10,4,1,EU JOGO BOLA,0,0,0,0,0,16,2,1
Leviatan,159,7,3,0,New Pampas,210,3,5,0,0,2,0,1
Isurus,133,8,6,0,Coscu Army,164,7,8,0,0,25,22,1
Bravos,49,26,8,0,MEGAZORD,0,1,0,0,0,16,12,1
Paquetá,64,18,7,2,PR Stars,0,1,0,0,0,16,10,1
Havan Liberty,74,10,5,5,ex-KG Network,124,1,2,2,2,16,6,1
Sharks,62,9,6,2,INTZ,118,6,9,1,0,16,5,1
AIRLYA,129,5,0,0,Nexus,107,8,4,0,0,2,0,1
9z,86,11,2,1,Meta PY,0,0,0,0,0,16,8,1
SWS,162,4,6,2,PR Stars,0,0,0,0,0,14,16,0
DETONA,102,6,7,0,ex-KG Network,124,0,2,0,0,11,16,0
G2,3,4,4,0,forZe,16,11,4,0,0,0,2,0
Black Dragons,146,2,3,0,MEGAZORD,0,0,0,0,0,6,16,0
INTZ,118,5,9,0,MAXIMA,0,0,0,0,0,16,4,1
Havan Liberty,74,9,5,3,Keyd,172,1,4,0,0,16,6,1
Bravos,49,25,8,0,Redragon,0,0,0,0,0,16,8,1
Paquetá,64,17,7,0,Bears Concept,0,0,0,0,0,16,2,1
Sharks,62,8,6,0,Cruzeiro,156,4,3,0,0,16,7,1
Akuma,32,6,5,2,Enterprise,91,5,4,0,0,2,1,1
LDLC,33,5,3,0,SKADE,22,20,10,3,0,2,1,1
Movistar Riders,66,7,3,0,Wisla Krakow,60,7,6,0,0,1,2,0
GORILLAZ,144,1,3,0,MASONIC,140,2,2,0,0,2,0,1
Virtus.pro,5,5,6,3,Complexity,18,7,4,6,1,1,2,0
AGO,28,10,6,2,BEZ ZP,67,4,2,0,0,2,1,1
AIRLYA,129,4,0,0,Eternal Fire,87,4,0,0,0,2,1,1
Spirit Academy,78,9,6,2,Galaxy Racer,72,3,1,0,0,2,1,1
D13,125,1,2,0,O PLANO,37,3,3,0,0,0,2,0
Copenhagen Flames,29,12,6,2,Entropiq,17,10,7,8,0,1,2,0
Nexus,107,7,4,0,Portugal,0,2,0,0,0,2,0,1
MAD Lions,61,8,2,0,AGF,139,0,2,0,0,2,0,1
Monte Carlo,0,0,0,0,South,0,0,0,0,0,0,2,0
777,46,4,4,0,Finest,81,5,2,0,0,0,2,0
Copenhagen Flames,29,12,6,0,K23,27,7,5,0,0,1,0,1
AVE,151,2,2,0,Lilmix,187,2,3,0,0,2,0,1
GamerLegion,39,7,3,1,Wisla Krakow,60,7,5,2,0,2,1,1
ONYX,79,4,3,1,SKADE,22,19,10,4,1,1,2,0
K23,27,7,4,0,DBL PONEY,31,10,8,0,0,1,2,0
K23,27,7,4,0,DBL PONEY,31,10,8,0,0,1,2,0
AIRLYA,129,3,0,0,Croatia,0,1,1,0,0,2,1,1
OG,10,4,2,0,Sinners,20,5,3,0,0,2,1,1
SJ,205,2,4,0,Movistar Riders,66,6,3,0,0,0,2,0
bankaPEPSI,75,9,14,2,AGO,28,9,6,1,0,1,2,0
Coalesce,0,0,0,0,BLINK,41,2,2,0,0,1,2,0
ENCE,19,9,5,0,Izako Boars,68,9,3,0,0,2,1,1
Newhappy,249,0,0,0,CatEvil,0,0,0,0,0,1,2,0
Galaxy Racer,72,2,1,2,Lilmix,187,2,2,0,0,2,1,1
Warriors,206,0,4,0,Kanga,189,2,1,0,0,2,1,1
Apeks,59,6,5,2,777,46,4,3,3,0,2,0,1
1WIN,38,9,5,0,LDLC,33,5,3,0,0,1,0,1
DBL PONEY,31,9,8,0,ex-100PG,53,0,1,0,0,16,4,1
VERTEX,111,1,1,0,Bandits,195,1,1,0,0,2,0,1
Alke,188,3,2,0,domilk,196,1,1,0,0,2,0,1
Dire Wolves,88,5,0,7,Rooster,152,2,4,3,0,2,0,1
K23,27,6,4,0,allStars,0,0,0,0,0,16,9,1
Spirit Academy,78,8,6,0,OFFSET,99,4,6,0,0,2,1,1
KOVA,109,2,7,0,VP.Prodigy,127,6,18,0,0,2,0,1
SHPL,0,0,0,0,After,272,0,1,0,0,0,2,0
Third Impact,126,1,8,0,Eros,128,0,0,0,0,1,2,0
Big Chillin,108,2,1,0,ONET4P,0,0,0,0,0,0,2,0
Mythic,92,2,2,0,Secret Club,201,0,1,0,0,1,0,1
9z,86,10,2,3,Coscu Army,164,7,7,0,0,2,0,1
G2,3,4,3,4,Complexity,18,6,4,5,1,1,2,0
Boca Juniors,193,4,4,0,Stone,216,2,4,0,0,2,1,1
Lyngby Vikings,45,7,4,2,KOVA,109,2,6,1,1,2,0,1
Montenegro,0,0,1,0,Karabakh Horses,0,0,1,0,0,16,1,1
BLINK,41,2,1,0,Sprout,42,3,4,0,0,1,2,0
Portugal,0,1,0,0,Karabakh Horses,0,0,0,0,0,16,9,1
AGO,28,8,6,6,Endpoint,26,8,3,1,1,2,0,1
Wisla Krakow,60,7,4,0,Izako Boars,68,8,3,0,0,0,2,0
GamerLegion,39,7,2,2,K23,27,5,4,4,1,1,2,0
Nemiga,40,6,4,0,BEZ ZP,67,3,2,0,0,0,2,0
OG,10,3,2,6,forZe,16,11,3,4,0,2,1,1
Portugal,0,0,0,0,Montenegro,0,0,0,0,0,16,10,1
1WIN,38,8,5,0,777,46,4,2,0,0,2,0,1
SAW Youngsters,231,0,1,0,hREDS,138,2,2,0,0,2,1,1
Nexus,107,6,4,0,Slovakia,0,1,0,0,0,19,15,1
Trasko,77,9,2,0,AGO,28,7,6,0,0,1,2,0
LDLC,33,4,3,0,Movistar Riders,66,6,2,0,0,2,0,1
Entropiq,17,9,7,2,Lyngby Vikings,45,7,3,0,0,2,0,1
Akuma,32,6,4,0,Nexus,107,5,4,0,0,13,16,0
Copenhagen Flames,29,11,6,0,Wisla Krakow,60,7,3,0,0,2,0,1
Virtus.pro,5,4,6,0,Sinners,20,5,2,0,0,2,0,1
Spirit Academy,78,8,5,0,Lilmix,187,1,2,0,0,1,2,0
Slovakia,0,0,0,0,Akuma,32,6,3,0,0,16,9,1
ENCE,19,8,5,0,Apeks,59,6,4,0,0,2,0,1
Ground Zero,182,0,3,0,Lese,183,1,1,0,0,2,1,1
Galaxy Racer,72,1,1,1,OFFSET,99,4,5,2,0,2,0,1
ORDER,83,2,1,5,Caught off Guard,246,0,2,0,0,2,0,1
Dignitas,57,1,0,0,Copenhagen Flames,29,10,6,0,0,1,2,0
Chiefs,119,6,1,1,FURY,177,3,3,0,0,2,0,1
SJ,205,1,4,1,KOVA,109,2,5,4,0,2,1,1
Apeks,59,5,4,0,VP.Prodigy,127,6,17,0,0,2,1,1
River Plate,116,10,3,2,Malvinas,200,3,5,0,0,1,2,0
DUSTY,236,0,1,0,Oilers,120,2,1,0,0,1,2,0
TeamOne,47,0,5,0,Izako Boars,68,7,3,0,0,1,2,0
Croatia,0,0,1,0,Czech Republic,0,1,0,0,0,16,3,1
777,46,3,2,0,Galaxy Racer,75,1,0,1,0,2,0,1
Czech Republic,0,0,0,0,Anlaki,178,3,2,0,0,16,10,1
